type,title,url,wiki_title,wiki_url,wiki_extract,ka_best,ka_top3,confidence,matched_terms_bestka,hist_birth,hist_death,hist_mid,wiki_years,wiki_year_median,active_year,ka_status
persoon,"Sand, George",https://historiek.net/george-sand-schrijfster-frankrijk/173588/,Sankt Georgen am Längsee,https://nl.wikipedia.org/wiki/Sankt_Georgen_am_L%C3%A4ngsee,"Sankt Georgen am Längsee is een gemeente in de Oostenrijkse deelstaat Karinthië, gelegen in het district Sankt Veit an der Glan (SV). De gemeente heeft ongeveer 3600 inwoners.",,,0.0,,,,,,,,uncertain
persoon,"Sandes, Flora",https://historiek.net/flora-sandes-de-verpleegster-soldaat-eerste-wereldoorlog/155941/,,,,,,0.0,,,,,,,,uncertain
persoon,"Sanson, Dina",https://historiek.net/dina-sanson-eerste-politievrouw-nederland/172971/,Sansonia nuda,https://nl.wikipedia.org/wiki/Sansonia_nuda,Sansonia nuda is een slakkensoort uit de familie van de Pickworthiidae. De wetenschappelijke naam van de soort is voor het eerst geldig gepubliceerd in 1998 door Kase.,KA24,KA24,1.0,wetenschap,,,,1998,1998,1998,confirmed
persoon,"Santos, Lucia dos",https://historiek.net/lucia-dos-santos-herderskinderen-profetieen-maria/143261/,Mario Francesco Pompedda,https://nl.wikipedia.org/wiki/Mario_Francesco_Pompedda,Mario Francesco Pompedda was een Italiaans geestelijke en kardinaal van de Katholieke Kerk.,KA8,KA8,1.0,kerk; katholiek,,,,,,,confirmed
persoon,"Santos-Dumont, Alberto",https://historiek.net/alberto-santos-dumont-gevleugelde-arthur-japin/81449/,,,,,,0.0,,,,,,,,uncertain
persoon,"Sassen, Wim",https://historiek.net/wim-sassen-ontsnapping-fort-blauwkapel/80884/,Sassenheim,https://nl.wikipedia.org/wiki/Sassenheim,"Sassenheim is een plaats en voormalige gemeente in Zuid-Holland. Per 1 januari 2006 is de gemeente met gemeenten Voorhout en Warmond opgegaan in de gemeente Teylingen. Sassenheim had 16.020 inwoners en de bebouwing had ten tijde van de samenvoeging haar grenzen nagenoeg bereikt. Sassenheim heeft geen overige dorpskernen maar wel buurtschappen, zoals Klinkenberg. De buurtschap Teijlingen is weliswaar aan Sassenheim vastgebouwd, maar maakt vanouds deel van de voormalige gemeente Voorhout. In die buurtschap staat de bekendste bezienswaardigheid van Sassenheim, de ruïne van Teijlingen die tevens naamgever is van de huidige gemeente.",KA3,KA3,1.0,ur,,,,,,,confirmed
persoon,"Sauckel, Fritz",https://historiek.net/fritz-sauckel-leider-van-de-arbeitseinsatz/145778/,,,,,,0.0,,,,,,,,uncertain
persoon,"Savery, Roelant",https://historiek.net/roelant-savery-een-alleskunner-in-de-kunst/162424/,,,,,,0.0,,,,,,,,uncertain
persoon,"Sax, Adolphe",https://historiek.net/uitvinder-saxofoon-adolphe-sax/1636/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schaap, Pieter",https://historiek.net/pieter-schaap-nazi-collaborateur/133655/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schabowski, Günter",https://historiek.net/thema/gunter-schabowski/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schaefer, Jan",https://historiek.net/jan-schaefer-pvda-politicus/68865/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schaffelaar, Jan van",https://historiek.net/jan-van-schaffelaar-sprong-toren-barneveld/60593/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schaft, Hannie",https://historiek.net/thema/hannie-schaft/,,,,,,0.0,,,,,,,,uncertain
persoon,"Schaghen, Pieter",https://historiek.net/schaghenbrief-1626-geboortebewijs-new-york/137234/,,,,,,0.0,,,,,,,,uncertain
